Unnamed: 0,dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_garch
0,2023-08-08,96.6,2023-08-08,1033.2388680693978,1034.320322487397,1033.514687260593,1033.4298474968568,1033.6132626434187,1045.5832950854829
1,2023-08-09,96.8,2023-08-09,1030.731585698172,1031.1584642890898,1032.1481261951087,1031.4447352550064,1029.6623936999606,1037.2379556146352
2,2023-08-10,96.7,2023-08-10,1029.1214985785464,1030.163152982185,1029.3089119303413,1026.9573632597446,1025.6868211095978,1027.6969639039037
3,2023-08-11,96.93,2023-08-11,1031.8113698844743,1032.094971600104,1028.8991276630163,1028.1530485593732,1029.0551381023322,1031.7104153793937
4,2023-08-14,96.67,2023-08-14,1033.7827998107769,1034.760281606831,1033.791880129057,1032.5290774348373,1032.563598643209,1042.7144285864374
5,2023-08-15,96.29,2023-08-15,1032.7547435312729,1033.3057025875517,1031.5254313867426,1029.98356188315,1030.32821647525,1040.7042693436588
6,2023-08-16,95.67,2023-08-16,1023.6516296492056,1025.025326428039,1023.1969249900962,1022.057067590352,1023.3845673950616,1036.6952741714342
7,2023-08-17,95.44,2023-08-17,1017.9151586153006,1020.8247531337754,1016.9021842470016,1018.5998241673756,1018.6080393487352,991.2399252807734
8,2023-08-18,95.13,2023-08-18,1016.918658630649,1019.7173350434985,1019.8168235416966,1015.5693881689994,1015.7976096071944,993.3766602310582
9,2023-08-21,95.02,2023-08-21,1017.0018346276112,1019.8002465743948,1018.3745959745962,1015.5275079385892,1017.9095128170208,1011.556167540164
10,2023-08-22,94.65,2023-08-22,1018.258119433951,1021.1200133947737,1017.0826173547636,1016.4561637696831,1016.8321556543768,1027.422781709683
11,2023-08-23,94.34,2023-08-23,1010.9678244667658,1012.8846348765746,1009.9415143800742,1008.4571559521164,1010.3567128227852,1028.392848780271
12,2023-08-24,94.91,2023-08-24,1011.4497265369484,1015.0452499681586,1012.0939868543082,1010.9121975005478,1011.0553011340404,1002.5609463684896
13,2023-08-25,94.42,2023-08-25,1015.0538742119762,1017.6667263550572,1012.0822921084532,1013.8858472385436,1014.3910344486122,1025.8881127741165
14,2023-08-28,95.33,2023-08-28,1012.8725327601476,1014.9404093579404,1013.578336984089,1011.9625886401184,1011.9933537098368,1031.5223565819304
15,2023-08-29,95.55,2023-08-29,1019.5102880658736,1021.6919355077242,1016.664222418111,1016.1017432280172,1016.8032687107338,1038.4149704660565
16,2023-08-30,95.74,2023-08-30,1022.8672251361849,1024.4505619610484,1021.1219243114278,1022.4768279656058,1020.76200344848,1040.758273539279
17,2023-08-31,96.0,2023-08-31,1021.4679756472368,1024.3317682386207,1019.051232735828,1020.0511474047506,1020.4910041696418,1035.536450879916
18,2023-09-01,96.28,2023-09-01,1022.0526650337098,1025.0648728845897,1019.4439683695344,1020.1899778029884,1020.7490891914643,1039.64923246054
