dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_sep,derivative_prices_call
2023-08-08,96.6,2023-08-08,1020.4650925298494,1021.8954716197203,1018.830995081201,1017.8908858727608,1017.8723367122781,1009.8625716010451,1020.4650925298494
2023-08-09,96.8,2023-08-09,1015.106787396147,1016.5476404932757,1016.070724600413,1015.0848987555302,1013.1328199042993,1009.6294872646943,1015.106787396147
2023-08-10,96.7,2023-08-10,1012.2108011779223,1014.2083977695371,1012.6798816375718,1011.3649797338397,1010.6443488595773,1005.1347973442847,1012.2108011779223
2023-08-11,96.93,2023-08-11,1014.1736618010227,1016.0778674727034,1015.043745865104,1011.8479094431583,1012.0481866719927,1004.0639444763779,1014.1736618010227
2023-08-14,96.67,2023-08-14,1016.2320026608376,1016.7417664803088,1015.3975667667202,1014.435212269773,1015.7886770219093,1006.759553140562,1016.2320026608376
2023-08-15,96.29,2023-08-15,1013.3177763579104,1013.9843344955635,1013.5532286368107,1011.1953797538954,1014.2557223424823,1005.4157729619945,1013.3177763579104
2023-08-16,95.67,2023-08-16,1007.98727288224,1009.2173900057269,1006.8194821548691,1005.1452948000168,1003.510794793642,998.1996139873908,1007.98727288224
2023-08-17,95.44,2023-08-17,999.3476837660868,1001.3925626635216,996.7555197555525,1000.1581439646109,998.132131475517,988.5312172653978,999.3476837660868
2023-08-18,95.13,2023-08-18,997.2249939287686,1000.7175671083658,999.6795074095877,997.4887752794318,999.2314504830831,989.1299060625589,997.2249939287686
2023-08-21,95.02,2023-08-21,996.9757677043106,999.1849822138144,997.2821891902596,996.5958152585855,995.9369469486631,986.0515281744264,996.9757677043106
2023-08-22,94.65,2023-08-22,998.6554768116717,1000.9318896355292,997.040439909267,999.7311712452527,996.0547717998788,990.0652147823018,998.6554768116717
2023-08-23,94.34,2023-08-23,989.7530841797375,992.2411289411217,991.9958996358871,991.3807611364577,990.4040525915441,979.0972268631859,989.7530841797375
2023-08-24,94.91,2023-08-24,992.5688263575237,994.5983457985807,994.245770791635,994.0576374836402,990.9333166951535,981.3843241828826,992.5688263575237
2023-08-25,94.42,2023-08-25,995.2367914630504,997.5969574356603,995.0260949887062,994.4592112399703,994.2644178107213,983.01175768901,995.2367914630504
