,dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_sep,derivative_prices_garch
0,2023-08-08,96.6,2023-08-08,1020.8963625764911,1022.0523595428718,1018.549202703118,1020.315312378218,1018.0227538212249,1012.3073128769166,1032.2558583003834
1,2023-08-09,96.8,2023-08-09,1017.2332125499477,1018.3049041676766,1015.8612906947033,1016.5176010182118,1015.4325585849848,1008.3954903862585,1024.3366719187968
2,2023-08-10,96.7,2023-08-10,1015.815641623711,1017.9648143023102,1013.6682928968453,1012.3091348727651,1012.9759856620284,1006.0523700727838,1014.8842433921013
3,2023-08-11,96.93,2023-08-11,1014.7056915942856,1015.430965926233,1015.4305677562193,1014.529104263773,1014.2023849532662,1006.3637986219818,1017.9048429867728
4,2023-08-14,96.67,2023-08-14,1017.6130403529189,1018.5568076534394,1017.6583455923147,1016.3057054408413,1015.6016375295295,1010.5455305911586,1027.5108033077397
5,2023-08-15,96.29,2023-08-15,1014.6850518370718,1015.9957049974653,1014.9490261865852,1014.4287305883282,1015.6047134669102,1008.3422180420804,1025.692134313506
6,2023-08-16,95.67,2023-08-16,1007.2776689673202,1008.7475450181912,1006.7106259284202,1005.4936995585384,1007.9181012591403,999.7412554872628,1020.7702477743189
7,2023-08-17,95.44,2023-08-17,1001.40038693221,1004.4229892091436,1002.0295276339838,1000.3975761832576,999.681066305695,993.3108367866881,978.4858790216863
8,2023-08-18,95.13,2023-08-18,1001.8884713441013,1002.8070223574275,1002.0295140044714,1001.2541303448171,1001.4680153530245,991.9548131898702,977.5048820284939
9,2023-08-21,95.02,2023-08-21,1000.1482315569237,1002.8486488682025,999.4475924858143,998.7140852850224,999.124469842075,989.4906358059249,996.4063881222377
10,2023-08-22,94.65,2023-08-22,1003.5937873672107,1005.1428791991407,1000.2032673118596,1000.6495290185043,999.301682003084,988.8278553444792,1010.4312930137254
11,2023-08-23,94.34,2023-08-23,991.8239636604757,994.8804646144043,991.1417985491909,991.3248174868905,992.0704274893375,980.7531602808352,1012.2517655000058
12,2023-08-24,94.91,2023-08-24,991.7160128869865,994.6397587838998,994.0453001054416,991.6945494737732,993.4708508143059,983.1404214592827,991.9026005716745
13,2023-08-25,94.42,2023-08-25,996.7440864822571,999.0024728972309,992.6586787278162,994.844531603374,995.7525394083897,986.0413543049509,1004.0535789340457
14,2023-08-28,95.33,2023-08-28,991.9021505816612,995.5847104174558,994.1307994771391,991.8284635015846,993.6045123097033,984.1215084339075,1011.6410920594218
15,2023-08-29,95.55,2023-08-29,1000.1528329198629,1002.3560980205566,997.6831843962314,1000.6023427843128,996.3547664019787,989.2756950468327,1019.5477982618273
16,2023-08-30,95.74,2023-08-30,1003.7895505017716,1005.9580276566419,1002.8086572035419,1000.833703172063,1002.7235474694917,993.3168533851198,1020.8538288570218
17,2023-08-31,96.0,2023-08-31,1002.4461676581205,1004.9638935788331,1002.0071645324232,1000.1074513193107,1003.0903995726984,993.5150188083371,1017.1469071867755
18,2023-09-01,96.28,2023-09-01,999.8399796612067,1001.7147970564541,1001.0433655784291,1000.5059808964177,998.6394500835582,989.2382488561615,1020.2017914030619
19,2023-09-04,96.46,,,,,,,,
20,2023-09-05,96.03,2023-09-05,1004.6606804830582,1006.6099042011164,1002.8237491214818,1003.040364532427,1002.1952412882374,994.4747775138561,1024.5608251345816
21,2023-09-06,95.83,2023-09-06,1000.2931298479522,1003.6390850619318,1000.4836826486406,1000.4256082717862,1000.8045194468925,992.087775446639,1020.9601709383894
22,2023-09-07,95.81,2023-09-07,1000.9947182987174,1001.9115047757418,996.3105816352166,997.6264338665145,995.780771834471,986.6955580980128,1018.5910827070185
23,2023-09-08,95.8,2023-09-08,992.6908915348752,996.7138841676375,993.1013173661547,994.9688166937638,994.7784373984508,980.7334388113254,1020.3576365437426
24,2023-09-11,96.29,2023-09-11,998.0702908799317,1000.2141340058491,996.4131151154181,998.0086296220608,997.9965999836654,988.2115985499214,1022.6899887276965
25,2023-09-12,96.39,2023-09-12,1000.6166365134758,1003.4936269950454,1001.1066599890416,1000.0692420953368,1000.1260993050639,990.2103916822972,1022.3429425039145
26,2023-09-13,96.73,2023-09-13,1005.3570174357585,1007.6335226279324,1003.4185872384073,1002.7513870553391,1004.8307819070268,997.5561805908148,1025.6366511197994
27,2023-09-14,97.19,2023-09-14,1003.3427282342651,1006.9454995783437,1003.9016167820893,1003.4146509834142,1004.1354198025673,995.5038966142633,1016.7705776700027
28,2023-09-15,96.82,2023-09-15,1009.282244637135,1010.8480239994585,1007.5511220997286,1008.1610968384107,1007.8599932289893,1001.1934353292846,1023.4825849003427
29,2023-09-18,96.44,2023-09-18,1004.7539759184484,1007.3836729210675,1004.7628559964755,1005.3970225532635,1004.1044749648133,997.8365672583641,1021.8969298056805
30,2023-09-19,96.75,2023-09-19,1006.009224140957,1009.386353112238,1004.2195906365255,1002.5903531661096,1002.4821188119734,998.1190761270753,1021.0422386801039
31,2023-09-20,96.97,2023-09-20,1002.7222102194953,1005.5953714765058,1003.3676785365217,1003.3967479467481,1003.1575235814307,996.8268693786597,1025.584673723787
32,2023-09-21,96.49,2023-09-21,1003.3054290042006,1006.7658534513093,1003.8485416413632,1003.727717165332,1002.0261941298344,997.3963383136928,1026.456416658722
33,2023-09-22,95.39,2023-09-22,996.7565228567814,1000.3918556063519,995.5343874973795,997.3316991814524,996.5871453960403,986.7389930597424,1024.785353813427
34,2023-09-25,95.3,2023-09-25,997.1814202252496,1001.1477218652385,994.0746776618176,993.9488851614328,993.2313179939076,985.6247468174212,1013.3498247093644
35,2023-09-26,95.13,2023-09-26,993.444872355139,997.4145306531203,995.0434154841495,993.3328484366887,993.6720441570156,985.8082075404099,1010.691296536667
36,2023-09-27,95.37,2023-09-27,989.5901651491092,993.4818496435925,987.7463183692357,989.610610465464,987.3433557884993,980.5760231245218,1016.1888982732373
37,2023-09-28,95.45,2023-09-28,991.4904209467487,995.3811387631955,990.0351627626748,989.4125560721477,989.3588503810242,982.8735300957799,1010.2429589115488
38,2023-09-29,95.63,2023-09-29,996.4878664423759,1000.2062606880315,997.0459879349163,993.3698083779094,994.2833912340355,987.7513929753541,1019.420418529816
39,2023-10-02,95.01,2023-10-02,993.4625011790964,997.0548962993479,992.6840019881613,991.3228455948188,992.1336301750754,982.0719499990244,1015.8857092151125
40,2023-10-03,93.63,2023-10-03,982.8477913355696,987.6039731971698,984.8923821247,985.0820166026879,984.5839802744039,974.9448911565764,1013.5893934896792
41,2023-10-04,92.24,2023-10-04,970.4264735121009,976.4201612963993,970.9500248661388,965.858465239105,969.1022538445543,959.4567599218435,977.8698398292412
42,2023-10-05,92.41,2023-10-05,970.6855794086907,978.1389344136522,969.7872410525356,969.2794382917916,970.2508203302737,960.4094316926412,954.6771661159759
43,2023-10-06,92.31,2023-10-06,975.8806641232864,981.8719415994368,974.1022413519627,976.5221629734114,976.750612799183,964.1267435329813,967.385979809124
44,2023-10-09,92.63,2023-10-09,976.3606645831969,982.6366339004499,995.2106560841416,976.3400845145188,976.3998429141112,964.804542881823,988.3821200848655
45,2023-10-10,94.97,2023-10-10,981.7365997783614,987.6163852401548,980.8814365200845,981.5457489245132,980.5473771062902,969.8279646711744,1000.7397677258763
46,2023-10-11,94.8,2023-10-11,992.3812488231277,998.7218599995645,991.462302598835,991.7425668147671,992.2812322614818,983.2469015608676,1009.1111910526777
47,2023-10-12,94.47,2023-10-12,991.9810209774992,997.8596370533085,991.3248977143735,989.3444668071602,991.851791995825,982.3311773252683,987.9696229871186
48,2023-10-13,94.92,2023-10-13,991.5725272155513,996.0080553539156,990.3798265154472,990.7823826448761,990.3343073456822,982.4887731649161,993.7589437640719
49,2023-10-16,94.25,2023-10-16,988.2098974731402,994.4963789133302,988.5400940079667,988.304791016881,990.2246634874938,978.2258588934473,1010.1572591975234
50,2023-10-17,95.49,2023-10-17,995.575475450134,1000.6748840179871,994.0794559274163,996.6998470051446,993.923562356055,988.8709469175838,1000.5794544271428
51,2023-10-18,95.75,2023-10-18,1004.1057690836354,1007.4313022143637,1002.593439762203,1003.2093969041784,1002.1764036462458,993.5849195179246,1019.3298247237461
52,2023-10-19,95.57,2023-10-19,1001.8940121377136,1006.0123137478032,1001.749068450657,1002.5844802191859,1003.5815361483659,996.8039823867138,995.202980449208
53,2023-10-20,93.96,2023-10-20,1000.0915416353165,1003.9837510936345,999.5727736405415,1001.9438097153785,998.6952701811946,993.6973739633354,1003.4221187750145
54,2023-10-23,93.41,2023-10-23,992.3971756184873,998.9842029428954,992.4650382582479,993.2662550493714,990.8819370418621,984.0400955728753,997.5351290299236
55,2023-10-24,92.44,2023-10-24,979.5963028247621,986.8075628661177,978.9981365954417,978.5338442775576,976.9318454608147,970.7096793364504,961.7576449261137
56,2023-10-25,92.33,2023-10-25,979.2569983923951,985.8745860255317,980.5109806350736,978.1998702971571,978.7610807227153,970.2486391513596,947.2305675283869
57,2023-10-26,93.17,2023-10-26,981.1023702769613,988.2356020705264,980.1666376470721,980.094094417207,982.4425648883233,968.5696185803197,968.860713810702
58,2023-10-27,92.19,2023-10-27,989.8697491593105,995.3173871833105,988.6333856128329,987.4566994158772,990.824427070883,981.2906524141201,992.0953145633545
59,2023-10-30,91.6,2023-10-30,974.1839426853819,980.3016199221836,969.6451319440887,970.9529419805519,970.5705314927756,959.4456994569284,960.7788589364067
60,2023-10-31,93.3,2023-10-31,981.2124864004062,988.3516805298499,980.2142025878206,981.738322096085,983.4098931349097,972.9801930967151,926.6113687702899
61,2023-11-01,94.11,2023-11-01,991.9826352260216,998.4688690233464,991.447360906362,991.9619557452082,991.7065419945899,985.4931270041443,950.7301022514428
62,2023-11-02,95.51,2023-11-02,993.9441035172363,1000.0092609235571,991.9968054981124,992.3606218668701,990.9411721462141,984.5084759161427,946.7372404398354
