,dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_sep,derivative_prices_call,derivative_prices_garch
0,2023-08-08,96.6,2023-08-08,1019.8839248284128,1021.2340014471787,1018.4808694128828,1017.5628630779885,1018.8523070573175,1011.083922477637,1019.8839248284128,1031.865407979651
1,2023-08-09,96.8,2023-08-09,1015.6453735199456,1017.6849899759947,1014.9607303945802,1015.646038171259,1013.866418175199,1007.3938239857493,1015.6453735199456,1018.9019443797564
2,2023-08-10,96.7,2023-08-10,1013.1002336629468,1014.1132934596532,1014.4067601689937,1013.0514895760545,1011.8706921444567,1002.8091547670375,1013.1002336629468,1008.9802921966625
3,2023-08-11,96.93,2023-08-11,1012.1791602527248,1014.5388063117309,1015.5604441279255,1013.8978958164444,1010.743443893096,1004.8884676910244,1012.1791602527248,1016.4761052398693
4,2023-08-14,96.67,2023-08-14,1015.3222417346625,1016.7021718957097,1015.1721771254391,1014.7799371814818,1015.9846588641884,1008.6838212429443,1015.3222417346625,1024.465260538626
5,2023-08-15,96.29,2023-08-15,1014.8457044257012,1016.62140410436,1015.1417778965272,1011.734548392773,1012.6059752852849,1005.0500946642742,1014.8457044257012,1024.5024727438652
6,2023-08-16,95.67,2023-08-16,1007.1134683988688,1007.6644424018762,1005.9387901431784,1005.2649009782505,1007.0647022183246,996.1655570583467,1007.1134683988688,1016.0436238122428
7,2023-08-17,95.44,2023-08-17,998.7924847838432,1002.5131796179284,999.3761485254921,998.573314304861,998.5858144608998,987.9401928582668,998.7924847838432,964.0976320368245
8,2023-08-18,95.13,2023-08-18,998.8560469087815,1003.0943447352234,1001.6188343099451,999.1646908906583,999.6406744847873,987.3664527938097,998.8560469087815,974.4003628886333
9,2023-08-21,95.02,2023-08-21,997.6818793515439,999.8230872373097,1000.2191210466417,997.0997750627542,997.6206556652388,984.6014749705746,997.6818793515439,997.4583369289459
10,2023-08-22,94.65,2023-08-22,1000.4103842468437,1001.8647853574272,998.4389410687952,996.3374268603382,997.3958410921337,984.914955485025,1000.4103842468437,1010.8994744491642
11,2023-08-23,94.34,2023-08-23,993.8947427373128,996.2567062408331,991.6532310720409,992.9863997154631,992.0673004876004,978.1972415106756,993.8947427373128,1011.4753224415332
12,2023-08-24,94.91,2023-08-24,993.1595781368558,996.1627662038987,993.7960569792799,991.106411025696,992.5844931056073,981.5108651923591,993.1595781368558,987.4812636128391
13,2023-08-25,94.42,2023-08-25,994.5041002169388,998.426417548633,994.7198646736325,994.2763246296341,995.2446651564347,985.297500779194,994.5041002169388,1005.5962698161503
14,2023-08-28,95.33,2023-08-28,994.7788700988791,997.0632326107042,993.4883994833903,994.186617082243,995.894401555477,981.2879749217965,994.7788700988791,1009.4066096120254
15,2023-08-29,95.55,2023-08-29,998.8911808128357,1001.9964322972016,997.0757305836363,996.8991483985058,996.1541715568209,986.9942982695252,998.8911808128357,1014.0185967518217
16,2023-08-30,95.74,2023-08-30,1003.104775696993,1005.0761027969226,1002.4142269472279,1001.9977758675441,1002.3046873603348,990.4503499229207,1003.104775696993,1020.3680964824676
17,2023-08-31,96.0,2023-08-31,1001.3557422512736,1003.8370496856228,1003.5746641841706,1000.6702633156129,1001.2202073092128,991.4300548823788,1001.3557422512736,1013.87749192818
18,2023-09-01,96.28,2023-09-01,998.170146202154,1001.8693149267153,999.9799173937173,1000.7497232691278,1001.6622032267576,989.6439174893615,998.170146202154,1018.4006422039597
19,2023-09-04,96.46,,,,,,,,,
20,2023-09-05,96.03,2023-09-05,1001.6155321285473,1003.7896613619774,1005.0819365727237,1002.1435444631157,1004.3852308229667,992.9970683147512,1001.6155321285473,1023.1312279818621
21,2023-09-06,95.83,2023-09-06,999.0253057736437,1002.4337797151019,999.3509041580019,997.763637519543,998.7597749997823,988.4536954048768,999.0253057736437,1018.7278230250948
22,2023-09-07,95.81,2023-09-07,999.193329241341,1001.6005353888019,996.5026647402206,997.3615262460851,995.2127908327244,986.3846486300687,999.193329241341,1015.1860709818653
23,2023-09-08,95.8,2023-09-08,993.4415913989975,997.01945817199,995.6381602180813,993.2692896331477,993.645819161032,982.1924360671408,993.4415913989975,1015.2098582825996
24,2023-09-11,96.29,2023-09-11,998.4027301794116,1001.7143680998068,996.5334129701012,997.9005380403478,997.5670612729101,988.0625137457343,998.4027301794116,1018.6989684008405
25,2023-09-12,96.39,2023-09-12,998.2343931933458,1001.7188920656542,999.6259384179908,998.3644128480322,1000.7607072748633,990.53489053827,998.2343931933458,1018.8571769187247
26,2023-09-13,96.73,2023-09-13,1004.4534577631593,1008.3326806782496,1005.0594242735963,1003.4281555119458,1002.8549788177892,995.353937879147,1004.4534577631593,1023.942439211581
27,2023-09-14,97.19,2023-09-14,1004.0291723456996,1007.4734748086584,1004.2069598856573,1004.8516168838969,1002.4376540103074,994.4910131063762,1004.0291723456996,1013.5209914285603
28,2023-09-15,96.82,2023-09-15,1006.767808802785,1009.2077506156834,1005.814492581639,1006.1636377237037,1008.846269566104,1000.0728439115752,1006.767808802785,1023.9517383390137
29,2023-09-18,96.44,2023-09-18,1001.8466234922331,1004.8062903926806,1002.1424823947573,1002.320974737936,1004.8971986905784,995.5152285587151,1001.8466234922331,1017.8747484515175
30,2023-09-19,96.75,2023-09-19,1002.4188027281714,1005.1231409108716,1003.0815218555272,1002.2613827272079,1001.2684329005299,996.5399662427925,1002.4188027281714,1016.9335878917752
31,2023-09-20,96.97,2023-09-20,1002.7607297259589,1005.3218573228354,1004.5653563845545,999.5222385930897,1002.6445434245875,993.4272683659244,1002.7607297259589,1020.4003500107093
32,2023-09-21,96.49,2023-09-21,1001.6633176269672,1005.0546900947584,1002.0954481106319,1001.626759130052,1002.3344934808365,994.2051656264772,1001.6633176269672,1023.8201391967162
33,2023-09-22,95.39,2023-09-22,997.3669027722253,999.1919926909285,995.9254620358872,993.9471613717365,995.6968799176681,987.3378930822396,997.3669027722253,1024.5382321262166
34,2023-09-25,95.3,2023-09-25,993.6802350226397,996.6352461441935,992.9639641402119,991.7837879119584,991.2088498252346,980.7221053421696,993.6802350226397,1006.2745852231124
35,2023-09-26,95.13,2023-09-26,996.1940911372255,999.0753218464101,995.0926891974133,993.8695701457256,996.1542591097281,987.4073438809746,996.1940911372255,1001.7804091663459
