dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_sep,derivative_prices_call,variance_prices_av,variance_prices,variance_prices_ems
2023-08-08,96.6,2023-08-08,1019.9061025451389,1021.2080855016418,1018.6706889773731,1019.1108505144093,1018.5718856481096,1010.116762704889,,8991.185962810005,9062.821858648327,8466.362461228078
2023-08-09,96.8,2023-08-09,1014.8997297681378,1016.4002515639158,1016.8731998962512,1015.58115746527,1015.983238791444,1007.907246869756,,10093.332132006723,11215.89988588003,10546.182355130548
2023-08-10,96.7,2023-08-10,1014.1721675052219,1015.5280046370085,1013.1050885457164,1011.6022499342729,1010.8775390555493,1002.1701798622074,,12115.482614751565,11448.54940924743,10835.755091001716
2023-08-11,96.93,2023-08-11,1013.5760880945061,1015.4511943173197,1014.0309991187361,1013.3956380116088,1013.395834702045,1004.6650116153415,,10952.454365150561,11519.193383506898,10676.082486626903
2023-08-14,96.67,2023-08-14,1016.2781174290944,1017.9973221076123,1016.7356681678251,1014.8028744706811,1015.3414054861352,1008.7533020838691,,9929.694391980032,10280.185452032083,9548.18280666512
2023-08-15,96.29,2023-08-15,1014.9883880150105,1015.560502345658,1013.3042861315377,1014.939412284681,1011.9096514897959,1004.2813495678095,,11699.275825146524,10612.434185976994,10356.10027875267
2023-08-16,95.67,2023-08-16,1006.5928486328871,1008.0646535267936,1007.3766708656692,1006.2449102279608,1005.9713519176829,995.0825162533135,,14125.717844174545,14220.705485906667,13559.168054693198
2023-08-17,95.44,2023-08-17,999.2267783213526,1000.8696625402226,1000.6041711512881,999.3819067292444,1000.8648623589391,987.1059522543261,,16030.936211048333,17378.653576958084,16671.47839479767
2023-08-18,95.13,2023-08-18,1000.8844755925271,1002.7412500281512,998.7028130430868,996.9168975225003,999.1096843265921,987.0634308666082,,16572.41709659233,16586.232430798445,15766.313911653948
2023-08-21,95.02,2023-08-21,998.8683356202897,1001.8259136280843,996.1436151723206,998.3949410272011,999.1769520229919,988.2789555812062,,16507.954810523803,17260.472704148106,16028.748716031167
2023-08-22,94.65,2023-08-22,1000.5086855483165,1002.2522736617025,1000.67919274137,1000.6267555195559,1000.6396927924003,990.0051006754634,,15638.579352804209,16263.09485781216,15507.794675653791
2023-08-23,94.34,2023-08-23,990.7611521536039,995.4540441593813,993.1145095273258,992.1898473174185,991.2797162003757,979.669299702149,,19559.41358250159,20132.550854042114,18321.04826296922
2023-08-24,94.91,2023-08-24,994.3313782859766,997.2866509079889,994.3559629478708,994.7952002232095,993.8405090072471,982.3354203228555,,18611.20573941394,18588.412745014804,17400.723568811278
2023-08-25,94.42,2023-08-25,995.3353182227319,999.1079122711839,994.1827200151282,995.007649338246,994.2618530773119,982.2525778454851,,18242.401618875127,18030.86413048442,16490.776855643046
2023-08-28,95.33,2023-08-28,993.3393420946721,998.9263625780097,995.3989144962271,994.9987437521382,992.4001375870108,983.930257288575,,18659.67787492971,18745.675971522942,16516.034810814363
2023-08-29,95.55,2023-08-29,1000.3426173304916,1001.8387763956691,998.4509127682287,998.6780391682735,1000.3989669733168,988.7085885665798,,15610.431286992338,16092.578553209692,15423.916541647599
2023-08-30,95.74,2023-08-30,1004.2766646787802,1006.1240823615407,1003.6492121019057,1002.2147873667315,1002.9978092745462,990.476117557567,,14383.881052737212,14349.618488030133,13557.661028092218
2023-08-31,96.0,2023-08-31,1000.9565612569847,1004.3435281320591,1000.4540092823211,1000.3485721953712,1000.6490088997401,993.6670531534085,,15425.421302236957,15828.086152471313,14338.534013002298
2023-09-01,96.28,2023-09-01,1001.4343569913293,1004.0541613571621,1000.7713025724471,998.6303180234995,1002.041912728699,990.1184173983893,,14825.057162422594,15542.445421802468,14385.04262315292
2023-09-04,96.46,,,,,,,,,,,
2023-09-05,96.03,2023-09-05,1004.1075413592171,1007.3922577990985,1004.9303045331512,1002.2578552864957,1002.6650164758106,995.9037350870619,,14434.73651071776,14180.391466575491,12729.171310569693
2023-09-06,95.83,2023-09-06,1001.1943622775502,1003.4045231051714,1000.2059639316025,1001.8134571136193,1000.0613515780411,990.5026275604557,,15526.297790958852,15144.370791334253,14175.50266444264
2023-09-07,95.81,2023-09-07,997.5959323380124,1000.5115083030724,997.140902832247,996.2963167387487,995.8937401851308,988.8651129397882,,17098.832748522727,16739.393768604474,15471.696280719021
2023-09-08,95.8,2023-09-08,993.8543988335907,998.2595021484408,995.0253692939976,995.165565557216,995.2779875995325,985.1336134118205,,17098.01998979003,18046.709346849264,16225.117442858716
2023-09-11,96.29,2023-09-11,997.2872637789886,1000.8555820966609,999.487828588495,997.6436656141258,996.8979602904566,986.4333299241988,,16369.811615517709,16654.954522626424,15133.744333937451
2023-09-12,96.39,2023-09-12,999.344378475747,1001.9262148073539,998.8225928690327,998.9427734127236,1000.5576748238942,988.235168797898,,15012.577637946755,15720.353313168698,14595.033115311737
2023-09-13,96.73,2023-09-13,1004.7683837726202,1007.8713609977482,1005.1981368402801,1005.7835286776458,1003.7591617137856,995.462982494216,,13697.379293574435,13325.783943921471,12024.632691886443
2023-09-14,97.19,2023-09-14,1005.2041930040151,1007.9006973130057,1006.1403617546699,1002.7364892381687,1003.0695456416157,997.8846008533375,,13832.525606382147,13169.747136138878,12013.730312941843
2023-09-15,96.82,2023-09-15,1008.6595612200199,1010.7670535412537,1008.801613097963,1008.8375437482736,1007.5781636929757,998.6155977715292,,11743.68371203196,11597.288384425829,10686.255002821956
2023-09-18,96.44,2023-09-18,1003.7855051247288,1006.9401537218434,1002.8015340848104,1000.4486744952252,1003.0421774519821,995.2432700653969,,13613.43313110953,13494.942264996862,12160.174983000492
2023-09-19,96.75,2023-09-19,1002.0542673569771,1005.6362406114198,1002.648161385347,1004.0529742604664,1002.2749646039262,996.9078396372998,,13720.633400791272,14090.051420103478,12513.907025684313
2023-09-20,96.97,2023-09-20,1003.1025506038078,1005.3310157644393,1001.9897741494194,1001.7756330352995,1000.3794497440981,994.0008553101411,,14679.868398100194,13493.99173471863,12512.034156247131
2023-09-21,96.49,2023-09-21,1002.5920052175494,1005.3395258031519,1001.1465210462668,1002.793892717681,1002.6359767213327,991.4385633618131,,13622.75480582183,13653.278740895372,12397.347432549785
2023-09-22,95.39,2023-09-22,997.7375538360386,1002.017093696441,996.3942799167353,996.802502773854,997.1456088897828,987.9725020500929,,15783.333918743409,15601.954427130664,13752.719266315928
2023-09-25,95.3,2023-09-25,993.3939305773492,997.3996308585873,991.7910503139153,993.4564921339794,992.7289534782124,983.4420810808024,,17337.58377348124,17313.864819522856,15653.879207876205
2023-09-26,95.13,2023-09-26,995.2902360036102,999.6201069881552,996.0557000662626,994.4191068045491,995.552113843973,988.614687276182,,16141.856158986668,16567.94141267397,14751.259423307758
2023-09-27,95.37,2023-09-27,991.101260063462,993.8346116562984,989.9505340400193,988.2188602902445,992.8520584597915,978.0708413740687,,17305.11782697828,17966.312795439648,16816.010035815467
2023-09-28,95.45,2023-09-28,992.2354585202271,997.5418847319427,990.1749291575784,992.34100018053,993.1800537575223,985.0399342580888,,16966.18370945929,17495.988366098707,15320.712625521457
2023-09-29,95.63,2023-09-29,996.4783963155313,1000.7347979888315,997.7707253081968,997.0837961143054,994.6777335252574,985.0462397624019,,16412.62693839254,15812.903624829745,14007.536339455422
2023-10-02,95.01,2023-10-02,994.5362682462405,998.2409560157865,994.4927427981801,994.7711409650324,993.2966294546594,984.2197209711907,,16870.615480152854,16290.12218213683,14776.840703837475
2023-10-03,93.63,2023-10-03,987.7087781217421,993.0738735154677,982.5698676130949,985.1253091861499,985.708578382165,972.4279420710964,,19500.683754013913,18908.76032427447,16799.349150971575
2023-10-04,92.24,2023-10-04,970.033358699059,976.5948448315438,969.582480272245,967.1620947702004,970.2347853113178,958.0549997043647,,24994.04189885415,25864.83257602636,23379.907640424255
2023-10-05,92.41,2023-10-05,972.4478341240136,976.7169335266053,971.6780370746941,968.7802264144964,971.4884881779257,957.1451343049275,,24594.53322496202,24628.846160524907,22977.7324113675
2023-10-06,92.31,2023-10-06,976.2695544670605,980.7685759910477,977.2426054549754,977.037412988256,974.2813716181844,962.1093407622093,,23401.917748355252,23205.05802418259,21458.05035649243
2023-10-09,92.63,2023-10-09,976.0029624668488,980.9775043215946,995.9500912350161,977.8035172368968,972.8810639846445,960.5803281761944,,24096.33262370678,23133.177190875504,21197.231794099553
2023-10-10,94.97,2023-10-10,982.3014028161887,986.3810516861902,979.2774588781921,977.7900586167531,980.9957615054078,969.2105034091819,,21035.814554127996,21178.3176722525,19542.669243219967
2023-10-11,94.8,2023-10-11,988.5896205462252,993.7901088004172,991.1623229704459,989.6002120920932,990.0923480352618,979.3536031916764,,17414.007113752352,18592.669584409217,16450.130619858
2023-10-12,94.47,2023-10-12,989.7364420206343,994.8862178492556,990.5122855924631,990.1241721452141,991.4626347200086,980.6967527237385,,16917.777294364274,17974.851474351355,15869.722397193143
2023-10-13,94.92,2023-10-13,990.7540943222428,995.118397637273,987.9831770422705,988.4569850956325,989.4796177013683,977.9536428641376,,17489.509409277118,17416.880072532378,15593.203587458285
2023-10-16,94.25,2023-10-16,986.637580538218,993.377028908528,987.9026443693149,985.4823931095453,988.444691582609,976.464655488901,,17938.45710805417,18969.784012725835,16243.68579035129
2023-10-17,95.49,2023-10-17,988.1005020447637,994.8483202451804,990.4948385449444,990.0766778785816,989.6368971062788,982.122892703033,,17566.99279057515,18152.67657682699,15367.386926298359
2023-10-18,95.75,2023-10-18,1000.3206438043426,1003.9593762647004,999.2358955742901,998.7304563573545,996.5973243583404,992.3252991245533,,14672.227663331405,13117.831016208325,11564.664139030505
2023-10-19,95.57,2023-10-19,994.5975964616839,999.724001126582,992.3626055843594,994.3531976187027,993.5958098624504,986.786729627685,,15794.522516827294,15698.970053464556,13546.107252478212
2023-10-20,93.96,2023-10-20,990.7171463107289,997.1749274742641,990.9171341062283,992.0502424509732,994.0563876481851,984.0465831646928,,15568.800947446722,17158.816588464786,14433.626314283014
2023-10-23,93.41,2023-10-23,983.0297310458014,988.8591473895444,981.9582108278373,983.1425851701887,983.9552703643566,971.4486303623881,,19278.47680524622,20136.617126236157,17728.12952808527
2023-10-24,92.44,2023-10-24,965.3313540680422,973.9710987025751,964.6989231483047,965.9803672454119,969.9255209356114,954.5451011115123,,24489.509441664868,26409.51612824713,23128.782937992124
2023-10-25,92.33,2023-10-25,968.4884007702029,974.8437675034124,966.6079371284172,969.6349141949172,967.6578905729903,957.1974320774502,,24934.389243492307,25273.279082313322,22833.752117482654
2023-10-26,93.17,2023-10-26,968.0440210583605,975.6185834703529,970.3121114618997,968.955315566219,969.9619642677986,955.9318459640078,,24245.057464578294,25368.826717027332,22486.440425965495
2023-10-27,92.19,2023-10-27,980.4666662737967,987.3481459017897,977.6824576512837,979.6407288505008,980.0560553717718,970.4917919641982,,20635.20414305091,20783.390135793547,18055.579018502878
2023-10-30,91.6,2023-10-30,960.1412218686933,968.289800014057,956.8288048864871,955.8687592261082,961.3797851309523,948.31212347639,,27339.427930957652,27557.97632564144,24649.622990109237
2023-10-31,93.3,2023-10-31,969.6699002357384,978.3391462721468,971.7522500928686,970.4463496565216,971.4576513276319,958.757604314896,,23572.70909397097,24597.54224883992,21211.756208700244
2023-11-01,94.11,2023-11-01,985.0958634929392,990.7090143751271,983.0552908217876,979.8744271179377,980.8196757889664,971.8722090149724,,20023.50909828322,18904.251762010354,16592.958799633532
2023-11-02,95.51,2023-11-02,986.5997587752862,992.3564317675014,983.9205350059686,985.2335963900811,984.2178628430742,975.4006384107233,,18834.332028137345,18156.953984361924,15763.56307925853
2023-11-03,97.06,2023-11-03,999.5025566789141,1004.8128797510549,997.9577887002928,998.6931118781195,998.0844206925794,991.9921496671433,,13203.952295792342,13227.310385266132,10984.276056030634
2023-11-06,96.68,2023-11-06,1005.5152476900237,1009.6693009592198,1004.760497908274,1006.1265219427659,1005.3449538525598,1000.8503771212527,,10064.990722778273,10579.298683970901,8735.684450334238
2023-11-07,96.85,2023-11-07,1006.926640559046,1010.6028816908864,1007.7721801623097,1004.827773386751,1004.6306718019656,999.085669318227,,10329.439413068227,9885.583183345687,8256.943677520421
2023-11-08,96.68,2023-11-08,1007.0216300216327,1010.4454619241073,1004.109603948077,1003.0849208960406,1003.6783463945501,999.2459945509546,,10720.254838119357,9737.095730292383,8176.767937114782
